Ontology ID	OccO Label	Abilities
OCCO:11306100	purchasing managers	Oral Comprehension|Fluency of Ideas|Written Comprehension|Oral Expression|Written Expression|Speech Recognition
OCCO:11307104	supply chain managers	Written Expression|Written Comprehension|Oral Expression|Oral Comprehension|Problem Sensitivity|Information Ordering
OCCO:11311100	compensation and benefits managers	Written Expression|Written Comprehension|Oral Expression|Oral Comprehension|Speech Recognition|Speech Clarity
OCCO:11312100	human resources managers	Oral Expression|Oral Comprehension|Written Comprehension|Written Expression|Speech Recognition|Speech Clarity
OCCO:11313100	training and development managers	Oral Expression|Written Expression|Written Comprehension|Speech Clarity|Oral Comprehension|Fluency of Ideas
OCCO:11902100	construction managers	Problem Sensitivity|Information Ordering|Deductive Reasoning|Written Comprehension|Oral Expression|Oral Comprehension
OCCO:11903300	"education administrators, postsecondary"	Written Expression|Written Comprehension|Problem Sensitivity|Oral Expression|Speech Recognition|Speech Clarity
OCCO:11904100	architectural and engineering managers	Written Comprehension|Oral Expression|Oral Comprehension|Problem Sensitivity|Inductive Reasoning|Deductive Reasoning
OCCO:11904101	biofuels/biodiesel technology and product development managers	Written Comprehension|Problem Sensitivity|Oral Comprehension|Deductive Reasoning|Written Expression|Information Ordering
OCCO:11905100	food service managers	Oral Expression|Oral Comprehension|Problem Sensitivity|Written Comprehension|Speech Clarity|Deductive Reasoning
OCCO:11908100	lodging managers	Oral Expression|Written Expression|Written Comprehension|Speech Recognition|Speech Clarity|Problem Sensitivity
OCCO:11911100	medical and health services managers	Oral Expression|Written Comprehension|Oral Comprehension|Written Expression|Speech Clarity|Problem Sensitivity
OCCO:11912100	natural sciences managers	Written Expression|Written Comprehension|Oral Expression|Oral Comprehension|Inductive Reasoning|Deductive Reasoning
OCCO:11912101	clinical research coordinators	Written Comprehension|Oral Expression|Oral Comprehension|Written Expression|Speech Recognition|Inductive Reasoning
OCCO:11912102	water resource specialists	Written Comprehension|Oral Comprehension|Written Expression|Problem Sensitivity|Inductive Reasoning|Deductive Reasoning
OCCO:11913100	postmasters and mail superintendents	Written Comprehension|Oral Expression|Oral Comprehension|Speech Recognition|Speech Clarity|Deductive Reasoning
OCCO:11914100	"property, real estate, and community association managers"	Written Comprehension|Oral Expression|Oral Comprehension|Speech Clarity|Problem Sensitivity|Written Expression
OCCO:11915100	social and community service managers	Oral Expression|Oral Comprehension|Written Comprehension|Problem Sensitivity|Written Expression|Speech Recognition
OCCO:11916100	emergency management directors	Oral Expression|Oral Comprehension|Written Expression|Written Comprehension|Problem Sensitivity|Inductive Reasoning
OCCO:11917901	fitness and wellness coordinators	Oral Expression|Oral Comprehension|Deductive Reasoning|Written Comprehension|Speech Recognition|Speech Clarity
OCCO:11917902	spa managers	Problem Sensitivity|Oral Expression|Oral Comprehension|Speech Recognition|Speech Clarity|Deductive Reasoning
OCCO:11919901	regulatory affairs managers	Written Comprehension|Written Expression|Oral Expression|Oral Comprehension|Speech Clarity|Problem Sensitivity
OCCO:11919902	compliance managers	Problem Sensitivity|Oral Expression|Written Expression|Written Comprehension|Oral Comprehension|Deductive Reasoning
OCCO:11919908	loss prevention managers	Problem Sensitivity|Written Expression|Written Comprehension|Oral Expression|Oral Comprehension|Speech Clarity
OCCO:11919909	wind energy operations managers	Oral Comprehension|Problem Sensitivity|Oral Expression|Written Comprehension|Speech Recognition|Speech Clarity
OCCO:11919911	brownfield redevelopment specialists and site managers	Problem Sensitivity|Oral Expression|Oral Comprehension|Inductive Reasoning|Deductive Reasoning|Written Expression
OCCO:13101100	"agents and business managers of artists, performers, and athletes"	Oral Expression|Oral Comprehension|Written Comprehension|Speech Recognition|Speech Clarity|Problem Sensitivity
OCCO:13102100	"buyers and purchasing agents, farm products"	Oral Expression|Written Comprehension|Speech Clarity|Oral Comprehension|Deductive Reasoning|Speech Recognition
OCCO:13102200	"wholesale and retail buyers, except farm products"	Oral Expression|Oral Comprehension|Written Comprehension|Deductive Reasoning|Speech Clarity|Problem Sensitivity
OCCO:13102300	"purchasing agents, except wholesale, retail, and farm products"	Written Comprehension|Oral Expression|Oral Comprehension|Speech Recognition|Deductive Reasoning|Written Expression
OCCO:13103200	"insurance appraisers, auto damage"	Oral Expression|Oral Comprehension|Written Comprehension|Problem Sensitivity|Written Expression|Speech Recognition
OCCO:13104101	environmental compliance inspectors	Problem Sensitivity|Inductive Reasoning|Written Comprehension|Oral Expression|Oral Comprehension|Near Vision
OCCO:13104103	equal opportunity representatives and officers	Written Comprehension|Oral Comprehension|Written Expression|Problem Sensitivity|Oral Expression|Inductive Reasoning
OCCO:13104104	government property inspectors and investigators	Inductive Reasoning|Written Expression|Written Comprehension|Problem Sensitivity|Oral Expression|Oral Comprehension
OCCO:13104106	coroners	Written Comprehension|Oral Expression|Oral Comprehension|Inductive Reasoning|Deductive Reasoning|Written Expression
OCCO:13104107	regulatory affairs specialists	Written Comprehension|Written Expression|Oral Expression|Oral Comprehension|Problem Sensitivity|Speech Clarity
OCCO:13104108	customs brokers	Written Comprehension|Deductive Reasoning|Written Expression|Oral Expression|Oral Comprehension|Near Vision
OCCO:13105100	cost estimators	Oral Expression|Oral Comprehension|Number Facility|Mathematical Reasoning|Inductive Reasoning|Written Comprehension
OCCO:13107100	human resources specialists	Written Comprehension|Oral Expression|Oral Comprehension|Written Expression|Speech Recognition|Deductive Reasoning
OCCO:13107400	farm labor contractors	Oral Comprehension|Oral Expression|Speech Clarity|Speech Recognition|Problem Sensitivity|Near Vision
OCCO:13107500	labor relations specialists	Oral Expression|Oral Comprehension|Written Comprehension|Problem Sensitivity|Written Expression|Deductive Reasoning
OCCO:13108100	logisticians	Written Comprehension|Problem Sensitivity|Oral Expression|Oral Comprehension|Information Ordering|Inductive Reasoning
OCCO:13108101	logistics engineers	Written Comprehension|Written Expression|Oral Expression|Oral Comprehension|Problem Sensitivity|Mathematical Reasoning
OCCO:13108102	logistics analysts	Written Comprehension|Problem Sensitivity|Oral Comprehension|Inductive Reasoning|Deductive Reasoning|Oral Expression
OCCO:13111100	management analysts	Oral Comprehension|Written Comprehension|Oral Expression|Written Expression|Inductive Reasoning|Problem Sensitivity
OCCO:13112100	"meeting, convention, and event planners"	Written Expression|Written Comprehension|Speech Recognition|Oral Expression|Oral Comprehension|Problem Sensitivity
OCCO:13113100	fundraisers	Oral Expression|Written Expression|Speech Recognition|Oral Comprehension|Written Comprehension|Speech Clarity
OCCO:13114100	"compensation, benefits, and job analysis specialists"	Oral Expression|Written Comprehension|Oral Comprehension|Deductive Reasoning|Speech Clarity|Problem Sensitivity
OCCO:13115100	training and development specialists	Oral Expression|Oral Comprehension|Written Expression|Written Comprehension|Speech Clarity|Speech Recognition
OCCO:13116100	market research analysts and marketing specialists	Inductive Reasoning|Written Expression|Written Comprehension|Oral Expression|Oral Comprehension|Fluency of Ideas
OCCO:13116101	search marketing strategists	Oral Expression|Written Comprehension|Oral Comprehension|Written Expression|Problem Sensitivity|Information Ordering
OCCO:13119904	business continuity planners	Problem Sensitivity|Written Expression|Oral Expression|Oral Comprehension|Inductive Reasoning|Written Comprehension
OCCO:13119905	sustainability specialists	Written Comprehension|Written Expression|Problem Sensitivity|Deductive Reasoning|Oral Expression|Oral Comprehension
OCCO:13119906	online merchants	Written Comprehension|Written Expression|Problem Sensitivity|Oral Expression|Speech Recognition|Speech Clarity
OCCO:13119907	security management specialists	Problem Sensitivity|Oral Expression|Oral Comprehension|Deductive Reasoning|Written Expression|Written Comprehension
OCCO:13203100	budget analysts	Written Comprehension|Oral Comprehension|Number Facility|Mathematical Reasoning|Written Expression|Inductive Reasoning
OCCO:13204100	credit analysts	Problem Sensitivity|Mathematical Reasoning|Oral Expression|Oral Comprehension|Number Facility|Inductive Reasoning
OCCO:13205200	personal financial advisors	Written Comprehension|Oral Expression|Oral Comprehension|Inductive Reasoning|Deductive Reasoning|Written Expression
OCCO:13205300	insurance underwriters	Written Comprehension|Written Expression|Inductive Reasoning|Oral Expression|Oral Comprehension|Deductive Reasoning
OCCO:13206100	financial examiners	Written Comprehension|Problem Sensitivity|Oral Expression|Near Vision|Deductive Reasoning|Written Expression
OCCO:13207100	credit counselors	Oral Comprehension|Written Comprehension|Oral Expression|Written Expression|Problem Sensitivity|Deductive Reasoning
OCCO:13207200	loan officers	Oral Expression|Oral Comprehension|Speech Clarity|Written Comprehension|Speech Recognition|Problem Sensitivity
OCCO:13208100	"tax examiners and collectors, and revenue agents"	Written Comprehension|Problem Sensitivity|Oral Expression|Oral Comprehension|Inductive Reasoning|Deductive Reasoning
OCCO:13208200	tax preparers	Oral Comprehension|Written Comprehension|Near Vision|Deductive Reasoning|Oral Expression|Mathematical Reasoning
OCCO:13209901	financial quantitative analysts	Mathematical Reasoning|Number Facility|Written Comprehension|Oral Comprehension|Inductive Reasoning|Deductive Reasoning
OCCO:13209904	"fraud examiners, investigators and analysts"	Written Comprehension|Written Expression|Oral Expression|Inductive Reasoning|Speech Clarity|Problem Sensitivity
OCCO:15121100	computer systems analysts	Oral Comprehension|Written Comprehension|Problem Sensitivity|Deductive Reasoning|Oral Expression|Near Vision
OCCO:15121200	information security analysts	Written Comprehension|Problem Sensitivity|Oral Comprehension|Inductive Reasoning|Deductive Reasoning|Written Expression
OCCO:15122100	computer and information research scientists	Inductive Reasoning|Deductive Reasoning|Problem Sensitivity|Written Comprehension|Oral Expression|Oral Comprehension
OCCO:15123100	computer network support specialists	Problem Sensitivity|Oral Comprehension|Deductive Reasoning|Oral Expression|Inductive Reasoning|Written Comprehension
OCCO:15123200	computer user support specialists	Written Comprehension|Oral Expression|Oral Comprehension|Near Vision|Speech Clarity|Information Ordering
OCCO:15124100	computer network architects	Written Comprehension|Oral Comprehension|Information Ordering|Deductive Reasoning|Written Expression|Problem Sensitivity
OCCO:15124101	telecommunications engineering specialists	Oral Comprehension|Oral Expression|Written Comprehension|Problem Sensitivity|Near Vision|Information Ordering
OCCO:15124200	database administrators	Problem Sensitivity|Information Ordering|Deductive Reasoning|Oral Comprehension|Inductive Reasoning|Written Comprehension
OCCO:15124300	database architects	Deductive Reasoning|Written Comprehension|Problem Sensitivity|Information Ordering|Oral Comprehension|Inductive Reasoning
OCCO:15124301	data warehousing specialists	Written Comprehension|Information Ordering|Oral Comprehension|Inductive Reasoning|Deductive Reasoning|Near Vision
OCCO:15124400	network and computer systems administrators	Problem Sensitivity|Written Comprehension|Information Ordering|Oral Expression|Inductive Reasoning|Deductive Reasoning
OCCO:15125100	computer programmers	Written Comprehension|Oral Comprehension|Near Vision|Problem Sensitivity|Information Ordering|Inductive Reasoning
OCCO:15125400	web developers	Deductive Reasoning|Oral Comprehension|Written Comprehension|Problem Sensitivity|Near Vision|Information Ordering
OCCO:15125501	video game designers	Originality|Near Vision|Fluency of Ideas|Written Comprehension|Problem Sensitivity|Oral Expression
OCCO:15129901	web administrators	Written Comprehension|Oral Comprehension|Problem Sensitivity|Oral Expression|Near Vision|Deductive Reasoning
OCCO:15129903	document management specialists	Written Comprehension|Oral Comprehension|Written Expression|Oral Expression|Problem Sensitivity|Information Ordering
OCCO:15129908	computer systems engineers/architects	Problem Sensitivity|Written Expression|Written Comprehension|Oral Comprehension|Originality|Oral Expression
OCCO:15129909	information technology project managers	Written Expression|Written Comprehension|Oral Expression|Oral Comprehension|Problem Sensitivity|Speech Recognition
OCCO:15201100	actuaries	Mathematical Reasoning|Number Facility|Deductive Reasoning|Written Comprehension|Oral Comprehension|Near Vision
OCCO:15202100	mathematicians	Mathematical Reasoning|Number Facility|Deductive Reasoning|Written Comprehension|Information Ordering|Inductive Reasoning
OCCO:15203100	operations research analysts	Mathematical Reasoning|Written Comprehension|Number Facility|Inductive Reasoning|Oral Expression|Deductive Reasoning
OCCO:15204100	statisticians	Mathematical Reasoning|Number Facility|Inductive Reasoning|Deductive Reasoning|Near Vision|Information Ordering
OCCO:15204101	biostatisticians	Mathematical Reasoning|Written Comprehension|Inductive Reasoning|Deductive Reasoning|Oral Expression|Oral Comprehension
OCCO:15205101	business intelligence analysts	Written Comprehension|Deductive Reasoning|Oral Expression|Oral Comprehension|Inductive Reasoning|Speech Recognition
OCCO:15205102	clinical data managers	Information Ordering|Deductive Reasoning|Written Comprehension|Oral Expression|Oral Comprehension|Written Expression
OCCO:15209901	bioinformatics technicians	Written Comprehension|Oral Comprehension|Inductive Reasoning|Deductive Reasoning|Written Expression|Mathematical Reasoning
OCCO:17101100	"architects, except landscape and naval"	Visualization|Fluency of Ideas|Written Comprehension|Problem Sensitivity|Originality|Oral Expression
OCCO:17101200	landscape architects	Oral Expression|Oral Comprehension|Written Comprehension|Visualization|Written Expression|Problem Sensitivity
OCCO:17102100	cartographers and photogrammetrists	Written Comprehension|Oral Comprehension|Near Vision|Inductive Reasoning|Written Expression|Oral Expression
OCCO:17102200	surveyors	Written Comprehension|Mathematical Reasoning|Deductive Reasoning|Speech Recognition|Speech Clarity|Oral Expression
OCCO:17102201	geodetic surveyors	Mathematical Reasoning|Written Comprehension|Oral Expression|Oral Comprehension|Number Facility|Information Ordering
OCCO:17201100	aerospace engineers	Written Comprehension|Problem Sensitivity|Information Ordering|Inductive Reasoning|Deductive Reasoning|Written Expression
OCCO:17202100	agricultural engineers	Written Comprehension|Oral Comprehension|Inductive Reasoning|Problem Sensitivity|Oral Expression|Deductive Reasoning
OCCO:17204100	chemical engineers	Written Comprehension|Problem Sensitivity|Oral Comprehension|Mathematical Reasoning|Information Ordering|Deductive Reasoning
OCCO:17205100	civil engineers	Problem Sensitivity|Oral Expression|Oral Comprehension|Information Ordering|Inductive Reasoning|Deductive Reasoning
OCCO:17205101	transportation engineers	Deductive Reasoning|Written Expression|Written Comprehension|Problem Sensitivity|Oral Expression|Oral Comprehension
OCCO:17205102	water/wastewater engineers	Written Comprehension|Problem Sensitivity|Oral Expression|Oral Comprehension|Deductive Reasoning|Written Expression
OCCO:17206100	computer hardware engineers	Written Comprehension|Problem Sensitivity|Oral Comprehension|Inductive Reasoning|Deductive Reasoning|Oral Expression
OCCO:17207100	electrical engineers	Written Comprehension|Problem Sensitivity|Oral Comprehension|Deductive Reasoning|Written Expression|Information Ordering
OCCO:17207200	"electronics engineers, except computer"	Written Comprehension|Problem Sensitivity|Oral Expression|Oral Comprehension|Inductive Reasoning|Deductive Reasoning
OCCO:17207201	radio frequency identification device specialists	Problem Sensitivity|Oral Comprehension|Deductive Reasoning|Written Comprehension|Inductive Reasoning|Oral Expression
OCCO:17208100	environmental engineers	Written Comprehension|Problem Sensitivity|Oral Comprehension|Written Expression|Oral Expression|Deductive Reasoning
OCCO:17211102	fire-prevention and protection engineers	Problem Sensitivity|Inductive Reasoning|Deductive Reasoning|Oral Expression|Written Comprehension|Oral Comprehension
OCCO:17211200	industrial engineers	Written Comprehension|Oral Comprehension|Problem Sensitivity|Oral Expression|Written Expression|Near Vision
OCCO:17211201	human factors engineers and ergonomists	Written Comprehension|Inductive Reasoning|Deductive Reasoning|Written Expression|Problem Sensitivity|Information Ordering
OCCO:17211202	validation engineers	Written Expression|Written Comprehension|Deductive Reasoning|Problem Sensitivity|Oral Expression|Oral Comprehension
OCCO:17211203	manufacturing engineers	Visualization|Problem Sensitivity|Oral Comprehension|Near Vision|Inductive Reasoning|Deductive Reasoning
OCCO:17213100	materials engineers	Written Comprehension|Problem Sensitivity|Oral Comprehension|Inductive Reasoning|Deductive Reasoning|Written Expression
OCCO:17214100	mechanical engineers	Written Comprehension|Oral Comprehension|Information Ordering|Problem Sensitivity|Mathematical Reasoning|Inductive Reasoning
OCCO:17214101	fuel cell engineers	Written Comprehension|Written Expression|Problem Sensitivity|Oral Comprehension|Mathematical Reasoning|Inductive Reasoning
OCCO:17214102	automotive engineers	Written Comprehension|Oral Expression|Oral Comprehension|Inductive Reasoning|Deductive Reasoning|Problem Sensitivity
OCCO:17215100	"mining and geological engineers, including mining safety engineers"	Written Expression|Written Comprehension|Problem Sensitivity|Oral Expression|Oral Comprehension|Information Ordering
OCCO:17216100	nuclear engineers	Problem Sensitivity|Written Comprehension|Oral Expression|Oral Comprehension|Written Expression|Information Ordering
OCCO:17217100	petroleum engineers	Written Comprehension|Oral Expression|Oral Comprehension|Written Expression|Problem Sensitivity|Inductive Reasoning
OCCO:17219905	mechatronics engineers	Oral Comprehension|Written Expression|Problem Sensitivity|Oral Expression|Inductive Reasoning|Deductive Reasoning
OCCO:17219906	microsystems engineers	Written Comprehension|Oral Comprehension|Oral Expression|Inductive Reasoning|Deductive Reasoning|Written Expression
OCCO:17219907	photonics engineers	Written Comprehension|Information Ordering|Inductive Reasoning|Deductive Reasoning|Written Expression|Oral Comprehension
OCCO:17219908	robotics engineers	Problem Sensitivity|Written Comprehension|Oral Comprehension|Information Ordering|Inductive Reasoning|Deductive Reasoning
OCCO:17219909	nanosystems engineers	Oral Expression|Oral Comprehension|Inductive Reasoning|Deductive Reasoning|Written Expression|Written Comprehension
OCCO:17219910	wind energy engineers	Deductive Reasoning|Written Comprehension|Mathematical Reasoning|Inductive Reasoning|Number Facility|Written Expression
OCCO:17219911	solar energy systems engineers	Written Comprehension|Oral Comprehension|Written Expression|Oral Expression|Deductive Reasoning|Problem Sensitivity
OCCO:17301300	mechanical drafters	Near Vision|Visualization|Mathematical Reasoning|Written Expression|Speech Recognition|Speech Clarity
OCCO:17302401	robotics technicians	Deductive Reasoning|Written Comprehension|Oral Comprehension|Near Vision|Inductive Reasoning|Problem Sensitivity
OCCO:17302701	automotive engineering technicians	Written Comprehension|Deductive Reasoning|Problem Sensitivity|Near Vision|Inductive Reasoning|Oral Comprehension
OCCO:17302901	non-destructive testing specialists	Problem Sensitivity|Near Vision|Written Comprehension|Oral Comprehension|Inductive Reasoning|Deductive Reasoning
OCCO:17302908	photonics technicians	Problem Sensitivity|Written Expression|Written Comprehension|Oral Comprehension|Near Vision|Information Ordering
OCCO:19101100	animal scientists	Oral Expression|Inductive Reasoning|Written Expression|Written Comprehension|Oral Comprehension|Deductive Reasoning
OCCO:19101200	food scientists and technologists	Written Comprehension|Problem Sensitivity|Oral Comprehension|Inductive Reasoning|Oral Expression|Deductive Reasoning
OCCO:19101300	soil and plant scientists	Written Comprehension|Oral Comprehension|Written Expression|Oral Expression|Information Ordering|Inductive Reasoning
OCCO:19102100	biochemists and biophysicists	Written Comprehension|Inductive Reasoning|Deductive Reasoning|Written Expression|Oral Expression|Oral Comprehension
OCCO:19102200	microbiologists	Written Comprehension|Inductive Reasoning|Written Expression|Problem Sensitivity|Oral Expression|Oral Comprehension
OCCO:19102300	zoologists and wildlife biologists	Written Comprehension|Oral Comprehension|Written Expression|Oral Expression|Inductive Reasoning|Deductive Reasoning
OCCO:19102901	bioinformatics scientists	Written Expression|Written Comprehension|Oral Comprehension|Problem Sensitivity|Oral Expression|Information Ordering
OCCO:19102902	molecular and cellular biologists	Written Comprehension|Inductive Reasoning|Oral Comprehension|Written Expression|Oral Expression|Near Vision
OCCO:19102903	geneticists	Written Comprehension|Written Expression|Oral Comprehension|Inductive Reasoning|Problem Sensitivity|Oral Expression
OCCO:19102904	biologists	Inductive Reasoning|Written Expression|Written Comprehension|Oral Expression|Oral Comprehension|Deductive Reasoning
OCCO:19103102	range managers	Written Comprehension|Oral Comprehension|Speech Clarity|Problem Sensitivity|Oral Expression|Deductive Reasoning
OCCO:19103103	park naturalists	Oral Expression|Speech Clarity|Oral Comprehension|Written Comprehension|Written Expression|Speech Recognition
OCCO:19103200	foresters	Written Comprehension|Oral Expression|Oral Comprehension|Written Expression|Deductive Reasoning|Problem Sensitivity
OCCO:19104100	epidemiologists	Problem Sensitivity|Written Comprehension|Oral Comprehension|Inductive Reasoning|Deductive Reasoning|Written Expression
OCCO:19104200	"medical scientists, except epidemiologists"	Written Comprehension|Oral Comprehension|Inductive Reasoning|Written Expression|Problem Sensitivity|Oral Expression
OCCO:19201100	astronomers	Mathematical Reasoning|Inductive Reasoning|Deductive Reasoning|Written Expression|Written Comprehension|Oral Expression
OCCO:19201200	physicists	Mathematical Reasoning|Written Comprehension|Oral Comprehension|Number Facility|Inductive Reasoning|Originality
OCCO:19202100	atmospheric and space scientists	Written Expression|Written Comprehension|Oral Expression|Speech Clarity|Oral Comprehension|Problem Sensitivity
OCCO:19203100	chemists	Written Comprehension|Oral Comprehension|Inductive Reasoning|Deductive Reasoning|Problem Sensitivity|Near Vision
OCCO:19203200	materials scientists	Written Comprehension|Oral Expression|Problem Sensitivity|Oral Comprehension|Deductive Reasoning|Written Expression
OCCO:19204100	"environmental scientists and specialists, including health"	Written Comprehension|Oral Comprehension|Written Expression|Problem Sensitivity|Oral Expression|Inductive Reasoning
OCCO:19204102	environmental restoration planners	Oral Comprehension|Written Expression|Written Comprehension|Oral Expression|Inductive Reasoning|Deductive Reasoning
OCCO:19204103	industrial ecologists	Deductive Reasoning|Written Expression|Inductive Reasoning|Written Comprehension|Problem Sensitivity|Oral Expression
OCCO:19204200	"geoscientists, except hydrologists and geographers"	Inductive Reasoning|Written Expression|Written Comprehension|Problem Sensitivity|Oral Expression|Oral Comprehension
OCCO:19204300	hydrologists	Written Expression|Written Comprehension|Oral Expression|Oral Comprehension|Problem Sensitivity|Mathematical Reasoning
OCCO:19209901	remote sensing scientists and technologists	Written Comprehension|Problem Sensitivity|Oral Expression|Near Vision|Mathematical Reasoning|Information Ordering
OCCO:19301100	economists	Written Expression|Written Comprehension|Inductive Reasoning|Deductive Reasoning|Speech Clarity|Oral Expression
OCCO:19301101	environmental economists	Written Comprehension|Written Expression|Mathematical Reasoning|Inductive Reasoning|Oral Expression|Deductive Reasoning
OCCO:19302200	survey researchers	Oral Expression|Oral Comprehension|Written Expression|Written Comprehension|Mathematical Reasoning|Inductive Reasoning
OCCO:19303200	industrial-organizational psychologists	Written Expression|Written Comprehension|Oral Expression|Oral Comprehension|Speech Recognition|Speech Clarity
OCCO:19303400	school psychologists	Oral Comprehension|Written Comprehension|Oral Expression|Written Expression|Speech Clarity|Problem Sensitivity
OCCO:19304100	sociologists	Written Comprehension|Oral Expression|Written Expression|Oral Comprehension|Deductive Reasoning|Speech Clarity
OCCO:19305100	urban and regional planners	Oral Expression|Written Expression|Written Comprehension|Oral Comprehension|Speech Clarity|Problem Sensitivity
OCCO:19309200	geographers	Written Expression|Written Comprehension|Oral Expression|Oral Comprehension|Inductive Reasoning|Deductive Reasoning
OCCO:19309300	historians	Written Comprehension|Written Expression|Oral Expression|Oral Comprehension|Inductive Reasoning|Speech Clarity
OCCO:19309400	political scientists	Written Comprehension|Oral Expression|Written Expression|Speech Clarity|Oral Comprehension|Inductive Reasoning
OCCO:19309901	transportation planners	Written Comprehension|Oral Expression|Written Expression|Problem Sensitivity|Oral Comprehension|Inductive Reasoning
OCCO:19401200	agricultural technicians	Written Comprehension|Near Vision|Problem Sensitivity|Oral Expression|Oral Comprehension|Written Expression
OCCO:19401201	precision agriculture technicians	Written Comprehension|Oral Comprehension|Inductive Reasoning|Deductive Reasoning|Written Expression|Oral Expression
OCCO:19401300	food science technicians	Written Expression|Oral Expression|Oral Comprehension|Inductive Reasoning|Written Comprehension|Problem Sensitivity
OCCO:19402100	biological technicians	Oral Comprehension|Near Vision|Inductive Reasoning|Oral Expression|Information Ordering|Written Expression
OCCO:19403100	chemical technicians	Written Comprehension|Oral Comprehension|Information Ordering|Near Vision|Inductive Reasoning|Deductive Reasoning
OCCO:19404200	"environmental science and protection technicians, including health"	Written Comprehension|Oral Comprehension|Problem Sensitivity|Oral Expression|Written Expression|Deductive Reasoning
OCCO:19405102	nuclear monitoring technicians	Problem Sensitivity|Oral Expression|Oral Comprehension|Inductive Reasoning|Deductive Reasoning|Written Comprehension
OCCO:19406100	social science research assistants	Written Comprehension|Oral Expression|Oral Comprehension|Written Expression|Information Ordering|Near Vision
OCCO:19407100	forest and conservation technicians	Problem Sensitivity|Oral Expression|Oral Comprehension|Information Ordering|Written Comprehension|Inductive Reasoning
OCCO:19409200	forensic science technicians	Inductive Reasoning|Flexibility of Closure|Written Comprehension|Oral Comprehension|Near Vision|Deductive Reasoning
OCCO:19409901	quality control analysts	Oral Comprehension|Near Vision|Written Comprehension|Oral Expression|Written Expression|Problem Sensitivity
OCCO:19409903	remote sensing technicians	Problem Sensitivity|Information Ordering|Deductive Reasoning|Oral Expression|Oral Comprehension|Near Vision
OCCO:19501100	occupational health and safety specialists	Problem Sensitivity|Oral Comprehension|Inductive Reasoning|Deductive Reasoning|Written Expression|Written Comprehension
OCCO:19501200	occupational health and safety technicians	Oral Expression|Oral Comprehension|Written Comprehension|Inductive Reasoning|Deductive Reasoning|Written Expression
OCCO:21101100	substance abuse and behavioral disorder counselors	Oral Expression|Oral Comprehension|Written Expression|Written Comprehension|Speech Clarity|Problem Sensitivity
OCCO:21101300	marriage and family therapists	Oral Comprehension|Speech Clarity|Problem Sensitivity|Oral Expression|Written Expression|Written Comprehension
OCCO:21101400	mental health counselors	Oral Expression|Oral Comprehension|Problem Sensitivity|Written Expression|Written Comprehension|Inductive Reasoning
OCCO:21101500	rehabilitation counselors	Written Expression|Written Comprehension|Speech Clarity|Oral Expression|Oral Comprehension|Speech Recognition
OCCO:21102100	"child, family, and school social workers"	Oral Expression|Oral Comprehension|Problem Sensitivity|Written Expression|Written Comprehension|Speech Clarity
OCCO:21102200	healthcare social workers	Oral Expression|Oral Comprehension|Written Comprehension|Problem Sensitivity|Inductive Reasoning|Deductive Reasoning
