Ontology ID	OccO Label	Skills
OCCO:11919908	loss prevention managers	speaking| reading comprehension| monitoring| critical thinking| active listening| writing
OCCO:11919909	wind energy operations managers	speaking| monitoring| critical thinking| active listening| social perceptiveness| reading comprehension
OCCO:11919911	brownfield redevelopment specialists and site managers	speaking| critical thinking| reading comprehension| coordination| complex problem solving| writing
OCCO:13101100	"agents and business managers of artists, performers, and athletes"	speaking| persuasion| social perceptiveness| negotiation| active listening| reading comprehension
OCCO:13102100	"buyers and purchasing agents, farm products"	speaking| critical thinking| active listening| reading comprehension| persuasion| negotiation
OCCO:13102200	"wholesale and retail buyers, except farm products"	negotiation| speaking| persuasion| critical thinking| active listening| judgment and decision making
OCCO:13102300	"purchasing agents, except wholesale, retail, and farm products"	speaking| reading comprehension| active listening| critical thinking| writing| management of financial resources
OCCO:13103200	"insurance appraisers, auto damage"	writing| speaking| reading comprehension| active listening| critical thinking| time management
OCCO:13104101	environmental compliance inspectors	reading comprehension| critical thinking| active listening| speaking| writing| monitoring
OCCO:13104103	equal opportunity representatives and officers	active listening| reading comprehension| speaking| social perceptiveness| critical thinking| writing
OCCO:13104104	government property inspectors and investigators	active listening| writing| speaking| reading comprehension| judgment and decision making| critical thinking
OCCO:13104106	coroners	speaking| critical thinking| active listening| writing| social perceptiveness| reading comprehension
OCCO:13104107	regulatory affairs specialists	reading comprehension| writing| critical thinking| speaking| systems analysis| judgment and decision making
OCCO:13104108	customs brokers	reading comprehension| active listening| complex problem solving| writing| speaking| critical thinking
OCCO:13105100	cost estimators	mathematics| reading comprehension| critical thinking| speaking| judgment and decision making| active listening
OCCO:13107100	human resources specialists	speaking| active listening| reading comprehension| critical thinking| writing| coordination
OCCO:13107400	farm labor contractors	speaking| active listening| management of personnel resources| time management| social perceptiveness| judgment and decision making
OCCO:13107500	labor relations specialists	active listening| speaking| reading comprehension| negotiation| writing| persuasion
OCCO:13108100	logisticians	critical thinking| speaking| reading comprehension| monitoring| coordination| active listening
OCCO:13108101	logistics engineers	reading comprehension| systems analysis| systems evaluation| critical thinking| judgment and decision making| complex problem solving
OCCO:13108102	logistics analysts	reading comprehension| critical thinking| complex problem solving| systems evaluation| systems analysis| speaking
OCCO:13111100	management analysts	reading comprehension| critical thinking| active listening| writing| systems evaluation| speaking
OCCO:13112100	"meeting, convention, and event planners"	speaking| reading comprehension| active listening| social perceptiveness| service orientation| critical thinking
OCCO:13113100	fundraisers	speaking| writing| persuasion| active listening| critical thinking| social perceptiveness
OCCO:13114100	"compensation, benefits, and job analysis specialists"	active listening| critical thinking| speaking| reading comprehension| writing| systems analysis
OCCO:13115100	training and development specialists	learning strategies| instructing| speaking| active listening| social perceptiveness| reading comprehension
OCCO:13116100	market research analysts and marketing specialists	reading comprehension| active listening| complex problem solving| writing| speaking| judgment and decision making
OCCO:13116101	search marketing strategists	speaking| reading comprehension| complex problem solving| critical thinking| active listening| active learning
OCCO:13119904	business continuity planners	critical thinking| complex problem solving| writing| systems analysis| judgment and decision making| speaking
OCCO:13119905	sustainability specialists	reading comprehension| speaking| complex problem solving| active listening| writing| monitoring
OCCO:13119906	online merchants	reading comprehension| speaking| critical thinking| active listening| writing| service orientation
OCCO:13119907	security management specialists	critical thinking| speaking| active listening| reading comprehension| judgment and decision making| writing
OCCO:13203100	budget analysts	active listening| reading comprehension| speaking| mathematics| critical thinking| complex problem solving
OCCO:13204100	credit analysts	critical thinking| active learning| speaking| reading comprehension| judgment and decision making| active listening
OCCO:13205200	personal financial advisors	speaking| reading comprehension| judgment and decision making| critical thinking| active listening| service orientation
OCCO:13205300	insurance underwriters	reading comprehension| judgment and decision making| active listening| speaking| critical thinking| writing
OCCO:13206100	financial examiners	reading comprehension| critical thinking| active listening| writing| speaking| management of personnel resources
OCCO:13207100	credit counselors	writing| speaking| active listening| reading comprehension| critical thinking| service orientation
OCCO:13207200	loan officers	speaking| active listening| reading comprehension| judgment and decision making| critical thinking| service orientation
OCCO:13208100	"tax examiners and collectors, and revenue agents"	reading comprehension| active listening| speaking| critical thinking| writing| active learning
OCCO:13208200	tax preparers	reading comprehension| active listening| critical thinking| speaking| writing| mathematics
OCCO:13209904	"fraud examiners, investigators and analysts"	writing| speaking| reading comprehension| critical thinking| active listening| judgment and decision making
OCCO:15121100	computer systems analysts	critical thinking| systems analysis| speaking| reading comprehension| active listening| writing
OCCO:15121200	information security analysts	reading comprehension| critical thinking| complex problem solving| speaking| writing| active listening
OCCO:15122100	computer and information research scientists	complex problem solving| systems evaluation| systems analysis| critical thinking| judgment and decision making| time management
OCCO:15123100	computer network support specialists	critical thinking| active listening| reading comprehension| judgment and decision making| speaking| monitoring
OCCO:15123200	computer user support specialists	speaking| active listening| reading comprehension| critical thinking| writing| complex problem solving
OCCO:15124100	computer network architects	systems analysis| operations analysis| active listening| complex problem solving| active learning| systems evaluation
OCCO:15124101	telecommunications engineering specialists	active listening| critical thinking| reading comprehension| speaking| active learning| writing
OCCO:15124200	database administrators	critical thinking| complex problem solving| reading comprehension| judgment and decision making| active listening| active learning
OCCO:15124300	database architects	critical thinking| reading comprehension| judgment and decision making| systems analysis| speaking| complex problem solving
OCCO:15124400	network and computer systems administrators	systems analysis| reading comprehension| critical thinking| systems evaluation| monitoring| judgment and decision making
OCCO:15125100	computer programmers	programming| reading comprehension| critical thinking| complex problem solving| quality control analysis| active listening
OCCO:15125400	web developers	programming| critical thinking| operations analysis| reading comprehension| complex problem solving| active listening
OCCO:15125501	video game designers	programming| active listening| reading comprehension| critical thinking| complex problem solving| time management
OCCO:15129901	web administrators	critical thinking| reading comprehension| complex problem solving| active listening| writing| judgment and decision making
OCCO:15129903	document management specialists	reading comprehension| monitoring| active listening| writing| critical thinking| systems analysis
OCCO:15129908	computer systems engineers/architects	critical thinking| active listening| reading comprehension| complex problem solving| writing| speaking
OCCO:15129909	information technology project managers	critical thinking| time management| speaking| reading comprehension| monitoring| coordination
OCCO:15201100	actuaries	mathematics| judgment and decision making| critical thinking| reading comprehension| complex problem solving| systems evaluation
OCCO:15202100	mathematicians	mathematics| reading comprehension| critical thinking| complex problem solving| active learning| writing
OCCO:15203100	operations research analysts	mathematics| complex problem solving| critical thinking| writing| systems evaluation| reading comprehension
OCCO:15204100	statisticians	mathematics| reading comprehension| critical thinking| active listening| active learning| complex problem solving
OCCO:15204101	biostatisticians	mathematics| reading comprehension| critical thinking| science| complex problem solving| writing
OCCO:15205101	business intelligence analysts	critical thinking| reading comprehension| active listening| speaking| active learning| judgment and decision making
OCCO:15205102	clinical data managers	critical thinking| speaking| reading comprehension| active listening| writing| monitoring
OCCO:15209901	bioinformatics technicians	reading comprehension| writing| judgment and decision making| critical thinking| complex problem solving| active listening
OCCO:17101100	"architects, except landscape and naval"	speaking| critical thinking| reading comprehension| operations analysis| judgment and decision making| complex problem solving
OCCO:17101200	landscape architects	active listening| reading comprehension| speaking| coordination| writing| time management
OCCO:17102100	cartographers and photogrammetrists	reading comprehension| writing| critical thinking| active listening| time management| active learning
OCCO:17102200	surveyors	reading comprehension| mathematics| writing| speaking| critical thinking| time management
OCCO:17102201	geodetic surveyors	mathematics| reading comprehension| critical thinking| active listening| judgment and decision making| complex problem solving
OCCO:17201100	aerospace engineers	critical thinking| science| reading comprehension| writing| speaking| operations analysis
OCCO:17202100	agricultural engineers	critical thinking| writing| reading comprehension| complex problem solving| judgment and decision making| active listening
OCCO:17204100	chemical engineers	science| critical thinking| complex problem solving| systems analysis| judgment and decision making| mathematics
OCCO:17205100	civil engineers	reading comprehension| critical thinking| systems analysis| speaking| operations analysis| mathematics
OCCO:17205101	transportation engineers	complex problem solving| speaking| critical thinking| writing| reading comprehension| judgment and decision making
OCCO:17205102	water/wastewater engineers	mathematics| critical thinking| complex problem solving| speaking| reading comprehension| judgment and decision making
OCCO:17206100	computer hardware engineers	reading comprehension| critical thinking| speaking| active listening| writing| active learning
OCCO:17207100	electrical engineers	writing| reading comprehension| critical thinking| complex problem solving| active listening| speaking
OCCO:17207200	"electronics engineers, except computer"	reading comprehension| critical thinking| complex problem solving| writing| systems analysis| speaking
OCCO:17207201	radio frequency identification device specialists	critical thinking| speaking| active listening| reading comprehension| judgment and decision making| complex problem solving
OCCO:17208100	environmental engineers	reading comprehension| critical thinking| complex problem solving| active listening| active learning| writing
OCCO:17211102	fire-prevention and protection engineers	critical thinking| active listening| reading comprehension| complex problem solving| systems analysis| speaking
OCCO:17211200	industrial engineers	reading comprehension| writing| critical thinking| complex problem solving| active listening| speaking
OCCO:17211201	human factors engineers and ergonomists	critical thinking| complex problem solving| speaking| reading comprehension| active listening| writing
OCCO:17211202	validation engineers	science| reading comprehension| active listening| writing| speaking| critical thinking
OCCO:17211203	manufacturing engineers	active listening| systems analysis| speaking| reading comprehension| judgment and decision making| complex problem solving
OCCO:17213100	materials engineers	reading comprehension| critical thinking| active listening| writing| speaking| science
OCCO:17214100	mechanical engineers	science| reading comprehension| mathematics| critical thinking| active listening| operations analysis
OCCO:17214101	fuel cell engineers	reading comprehension| systems analysis| critical thinking| writing| science| judgment and decision making
OCCO:17214102	automotive engineers	critical thinking| complex problem solving| judgment and decision making| speaking| reading comprehension| writing
OCCO:17215100	"mining and geological engineers, including mining safety engineers"	critical thinking| writing| speaking| reading comprehension| judgment and decision making| complex problem solving
OCCO:17216100	nuclear engineers	active listening| speaking| reading comprehension| operations analysis| critical thinking| writing
OCCO:17217100	petroleum engineers	reading comprehension| speaking| active listening| writing| critical thinking| complex problem solving
OCCO:17219905	mechatronics engineers	judgment and decision making| complex problem solving| active listening| writing| speaking| reading comprehension
OCCO:17219906	microsystems engineers	reading comprehension| critical thinking| active listening| complex problem solving| writing| systems analysis
OCCO:17219907	photonics engineers	critical thinking| reading comprehension| mathematics| writing| complex problem solving| active listening
OCCO:17219908	robotics engineers	reading comprehension| critical thinking| quality control analysis| operation monitoring| mathematics| judgment and decision making
OCCO:17219909	nanosystems engineers	speaking| critical thinking| writing| science| reading comprehension| mathematics
OCCO:17219910	wind energy engineers	critical thinking| reading comprehension| mathematics| judgment and decision making| writing| systems analysis
OCCO:17219911	solar energy systems engineers	reading comprehension| writing| judgment and decision making| critical thinking| active listening| speaking
OCCO:17301300	mechanical drafters	active learning| speaking| mathematics| critical thinking| complex problem solving| active listening
OCCO:17302401	robotics technicians	troubleshooting| repairing| reading comprehension| equipment maintenance| critical thinking| complex problem solving
OCCO:17302701	automotive engineering technicians	reading comprehension| speaking| critical thinking| writing| quality control analysis| operation monitoring
OCCO:17302901	non-destructive testing specialists	quality control analysis| reading comprehension| critical thinking| active learning| monitoring| active listening
OCCO:17302908	photonics technicians	reading comprehension| operation monitoring| quality control analysis| active listening| troubleshooting| monitoring
OCCO:19101100	animal scientists	science| writing| speaking| reading comprehension| critical thinking| judgment and decision making
OCCO:19101200	food scientists and technologists	writing| reading comprehension| active listening| speaking| critical thinking| active learning
OCCO:19101300	soil and plant scientists	science| reading comprehension| speaking| critical thinking| complex problem solving| active learning
OCCO:19102100	biochemists and biophysicists	science| reading comprehension| critical thinking| writing| speaking| active listening
OCCO:19102200	microbiologists	science| critical thinking| writing| reading comprehension| active listening| active learning
OCCO:19102300	zoologists and wildlife biologists	science| active listening| writing| reading comprehension| critical thinking| speaking
OCCO:19102901	bioinformatics scientists	reading comprehension| critical thinking| speaking| complex problem solving| active listening| writing
OCCO:19102902	molecular and cellular biologists	science| reading comprehension| critical thinking| writing| speaking| judgment and decision making
OCCO:19102903	geneticists	reading comprehension| speaking| science| critical thinking| active learning| writing
OCCO:19102904	biologists	science| critical thinking| reading comprehension| complex problem solving| active listening| writing
OCCO:19103102	range managers	active listening| speaking| critical thinking| reading comprehension| judgment and decision making| monitoring
OCCO:19103103	park naturalists	speaking| reading comprehension| social perceptiveness| critical thinking| active listening| writing
OCCO:19103200	foresters	speaking| reading comprehension| monitoring| judgment and decision making| critical thinking| time management
OCCO:19104100	epidemiologists	science| reading comprehension| critical thinking| speaking| judgment and decision making| active learning
OCCO:19104200	"medical scientists, except epidemiologists"	science| critical thinking| writing| reading comprehension| active listening| speaking
OCCO:19201100	astronomers	science| reading comprehension| critical thinking| active learning| writing| mathematics
OCCO:19201200	physicists	science| mathematics| critical thinking| speaking| reading comprehension| complex problem solving
OCCO:19202100	atmospheric and space scientists	science| reading comprehension| speaking| critical thinking| active listening| writing
OCCO:19203100	chemists	science| reading comprehension| critical thinking| mathematics| active listening| complex problem solving
OCCO:19203200	materials scientists	science| reading comprehension| critical thinking| speaking| complex problem solving| judgment and decision making
OCCO:19204100	"environmental scientists and specialists, including health"	reading comprehension| critical thinking| active listening| writing| speaking| science
OCCO:19204102	environmental restoration planners	critical thinking| active listening| reading comprehension| writing| speaking| science
OCCO:19204103	industrial ecologists	reading comprehension| writing| critical thinking| speaking| judgment and decision making| active listening
OCCO:19204200	"geoscientists, except hydrologists and geographers"	science| reading comprehension| critical thinking| speaking| complex problem solving| active listening
OCCO:19204300	hydrologists	critical thinking| science| reading comprehension| speaking| mathematics| active listening
OCCO:19209901	remote sensing scientists and technologists	science| reading comprehension| critical thinking| writing| speaking| mathematics
OCCO:19301100	economists	writing| speaking| mathematics| critical thinking| active listening| reading comprehension
OCCO:19301101	environmental economists	writing| reading comprehension| critical thinking| judgment and decision making| active listening| mathematics
OCCO:19302200	survey researchers	writing| speaking| reading comprehension| active listening| critical thinking| complex problem solving
OCCO:19303200	industrial-organizational psychologists	reading comprehension| active listening| speaking| judgment and decision making| complex problem solving| writing
OCCO:19303400	school psychologists	active listening| social perceptiveness| reading comprehension| writing| speaking| monitoring
OCCO:19304100	sociologists	reading comprehension| writing| social perceptiveness| active listening| speaking| critical thinking
OCCO:19305100	urban and regional planners	reading comprehension| active listening| speaking| judgment and decision making| critical thinking| systems analysis
OCCO:19309200	geographers	writing| speaking| reading comprehension| critical thinking| active listening| judgment and decision making
OCCO:19309300	historians	reading comprehension| critical thinking| writing| active listening| speaking| active learning
OCCO:19309400	political scientists	reading comprehension| speaking| critical thinking| writing| complex problem solving| social perceptiveness
OCCO:19309901	transportation planners	reading comprehension| writing| speaking| judgment and decision making| critical thinking| systems evaluation
OCCO:19401200	agricultural technicians	reading comprehension| writing| critical thinking| complex problem solving| active listening| monitoring
OCCO:19401201	precision agriculture technicians	reading comprehension| critical thinking| active listening| speaking| active learning| writing
OCCO:19401300	food science technicians	reading comprehension| active listening| writing| speaking| science| critical thinking
OCCO:19402100	biological technicians	reading comprehension| science| critical thinking| active listening| complex problem solving| active learning
OCCO:19403100	chemical technicians	science| reading comprehension| critical thinking| monitoring| writing| active listening
OCCO:19404200	"environmental science and protection technicians, including health"	active listening| reading comprehension| critical thinking| speaking| writing| science
OCCO:19405102	nuclear monitoring technicians	monitoring| critical thinking| active listening| reading comprehension| operation monitoring| speaking
OCCO:19406100	social science research assistants	reading comprehension| active listening| writing| critical thinking| complex problem solving| speaking
OCCO:19407100	forest and conservation technicians	critical thinking| active listening| reading comprehension| speaking| judgment and decision making| social perceptiveness
OCCO:19409200	forensic science technicians	writing| speaking| reading comprehension| critical thinking| active listening| complex problem solving
OCCO:19409901	quality control analysts	quality control analysis| reading comprehension| active listening| monitoring| complex problem solving| writing
OCCO:19409903	remote sensing technicians	critical thinking| speaking| reading comprehension| mathematics| systems analysis| monitoring
OCCO:19501100	occupational health and safety specialists	speaking| critical thinking| complex problem solving| active listening| reading comprehension| judgment and decision making
OCCO:19501200	occupational health and safety technicians	speaking| reading comprehension| active listening| critical thinking| writing| monitoring
OCCO:21101100	substance abuse and behavioral disorder counselors	speaking| social perceptiveness| active listening| reading comprehension| critical thinking| service orientation
OCCO:21101300	marriage and family therapists	active listening| social perceptiveness| speaking| service orientation| judgment and decision making| writing
OCCO:21101400	mental health counselors	active listening| social perceptiveness| speaking| service orientation| writing| monitoring
OCCO:21101500	rehabilitation counselors	active listening| social perceptiveness| speaking| monitoring| critical thinking| writing
OCCO:21102100	"child, family, and school social workers"	speaking| active listening| reading comprehension| social perceptiveness| service orientation| monitoring
OCCO:21102200	healthcare social workers	active listening| speaking| social perceptiveness| critical thinking| reading comprehension| coordination
OCCO:21102300	mental health and substance abuse social workers	active listening| speaking| social perceptiveness| reading comprehension| service orientation| monitoring
OCCO:21109200	probation officers and correctional treatment specialists	speaking| social perceptiveness| critical thinking| monitoring| active listening| writing
OCCO:21109300	social and human service assistants	speaking| social perceptiveness| service orientation| active listening| writing| reading comprehension
OCCO:21109400	community health workers	speaking| social perceptiveness| active listening| writing| service orientation| reading comprehension
OCCO:21201100	clergy	speaking| active listening| social perceptiveness| service orientation| writing| reading comprehension
OCCO:21202100	"directors, religious activities and education"	speaking| social perceptiveness| reading comprehension| active listening| critical thinking| coordination
OCCO:23101100	lawyers	speaking| active listening| reading comprehension| critical thinking| judgment and decision making| complex problem solving
OCCO:23101200	judicial law clerks	reading comprehension| active listening| critical thinking| writing| speaking| active learning
OCCO:23102100	"administrative law judges, adjudicators, and hearing officers"	critical thinking| reading comprehension| writing| judgment and decision making| complex problem solving| active listening
OCCO:23102200	"arbitrators, mediators, and conciliators"	negotiation| active listening| speaking| persuasion| critical thinking| writing
OCCO:23102300	"judges, magistrate judges, and magistrates"	critical thinking| active listening| judgment and decision making| speaking| reading comprehension| complex problem solving
OCCO:23201100	paralegals and legal assistants	reading comprehension| active listening| writing| speaking| critical thinking| time management
OCCO:23209300	"title examiners, abstractors, and searchers"	speaking| reading comprehension| critical thinking| active listening| time management| writing
OCCO:25101100	"business teachers, postsecondary"	speaking| reading comprehension| instructing| writing| learning strategies| critical thinking
OCCO:25102100	"computer science teachers, postsecondary"	speaking| instructing| writing| reading comprehension| learning strategies| critical thinking
OCCO:25102200	"mathematical science teachers, postsecondary"	mathematics| writing| speaking| reading comprehension| instructing| critical thinking
OCCO:25103100	"architecture teachers, postsecondary"	instructing| writing| speaking| reading comprehension| learning strategies| critical thinking
OCCO:25103200	"engineering teachers, postsecondary"	reading comprehension| writing| instructing| active listening| speaking| learning strategies
OCCO:25104100	"agricultural sciences teachers, postsecondary"	instructing| speaking| reading comprehension| learning strategies| active listening| writing
OCCO:25104200	"biological science teachers, postsecondary"	speaking| writing| reading comprehension| learning strategies| science| instructing
OCCO:25104300	"forestry and conservation science teachers, postsecondary"	speaking| writing| reading comprehension| instructing| active listening| learning strategies
OCCO:25105100	"atmospheric, earth, marine, and space sciences teachers, postsecondary"	speaking| reading comprehension| science| instructing| writing| learning strategies
OCCO:25105200	"chemistry teachers, postsecondary"	speaking| writing| science| reading comprehension| critical thinking| active listening
OCCO:25105300	"environmental science teachers, postsecondary"	writing| speaking| science| reading comprehension| instructing| monitoring
OCCO:25105400	"physics teachers, postsecondary"	speaking| reading comprehension| writing| instructing| active learning| science
OCCO:25106100	"anthropology and archeology teachers, postsecondary"	speaking| reading comprehension| writing| learning strategies| instructing| critical thinking
OCCO:25106200	"area, ethnic, and cultural studies teachers, postsecondary"	speaking| reading comprehension| active listening| instructing| critical thinking| active learning
OCCO:25106300	"economics teachers, postsecondary"	speaking| reading comprehension| instructing| active listening| writing| critical thinking
OCCO:25106400	"geography teachers, postsecondary"	speaking| instructing| writing| reading comprehension| learning strategies| critical thinking
OCCO:25106500	"political science teachers, postsecondary"	speaking| writing| reading comprehension| instructing| critical thinking| active listening
OCCO:25106600	"psychology teachers, postsecondary"	speaking| writing| reading comprehension| learning strategies| instructing| critical thinking
OCCO:25106700	"sociology teachers, postsecondary"	speaking| reading comprehension| writing| instructing| active listening| learning strategies
OCCO:25107100	"health specialties teachers, postsecondary"	speaking| reading comprehension| instructing| writing| learning strategies| critical thinking
OCCO:25107200	"nursing instructors and teachers, postsecondary"	speaking| instructing| writing| reading comprehension| learning strategies| critical thinking
OCCO:25108100	"education teachers, postsecondary"	speaking| writing| reading comprehension| learning strategies| instructing| active listening
OCCO:25108200	"library science teachers, postsecondary"	speaking| reading comprehension| instructing| writing| critical thinking| active listening
OCCO:25111100	"criminal justice and law enforcement teachers, postsecondary"	speaking| critical thinking| writing| reading comprehension| learning strategies| instructing
OCCO:25111200	"law teachers, postsecondary"	speaking| reading comprehension| learning strategies| instructing| active listening| writing
OCCO:25111300	"social work teachers, postsecondary"	instructing| speaking| reading comprehension| learning strategies| writing| critical thinking
OCCO:25112100	"art, drama, and music teachers, postsecondary"	speaking| instructing| time management| reading comprehension| learning strategies| active listening
OCCO:25112200	"communications teachers, postsecondary"	speaking| instructing| writing| reading comprehension| learning strategies| critical thinking
OCCO:25112300	"english language and literature teachers, postsecondary"	reading comprehension| instructing| speaking| writing| active listening| learning strategies
OCCO:25112400	"foreign language and literature teachers, postsecondary"	speaking| reading comprehension| instructing| writing| active listening| learning strategies
OCCO:25112500	"history teachers, postsecondary"	speaking| reading comprehension| writing| learning strategies| instructing| critical thinking
OCCO:25112600	"philosophy and religion teachers, postsecondary"	instructing| writing| speaking| reading comprehension| critical thinking| active listening
OCCO:25119300	"recreation and fitness studies teachers, postsecondary"	speaking| instructing| reading comprehension| learning strategies| writing| active listening
OCCO:25201100	"preschool teachers, except special education"	speaking| learning strategies| instructing| social perceptiveness| coordination| active listening
OCCO:25201200	"kindergarten teachers, except special education"	instructing| speaking| social perceptiveness| active listening| monitoring| learning strategies
OCCO:25202100	"elementary school teachers, except special education"	speaking| instructing| learning strategies| active listening| social perceptiveness| monitoring
OCCO:25202200	"middle school teachers, except special and career/technical education"	speaking| instructing| active listening| reading comprehension| writing| social perceptiveness
OCCO:25202300	"career/technical education teachers, middle school"	instructing| speaking| reading comprehension| monitoring| learning strategies| critical thinking
OCCO:25203100	"secondary school teachers, except special and career/technical education"	learning strategies| instructing| speaking| active listening| critical thinking| coordination
OCCO:25203200	"career/technical education teachers, secondary school"	instructing| writing| speaking| reading comprehension| active listening| monitoring
OCCO:25205700	"special education teachers, middle school"	instructing| speaking| active listening| reading comprehension| time management| social perceptiveness
OCCO:25205800	"special education teachers, secondary school"	learning strategies| instructing| speaking| service orientation| monitoring| active listening
OCCO:25205901	adapted physical education specialists	service orientation| instructing| active listening| speaking| social perceptiveness| reading comprehension
OCCO:25304100	tutors	instructing| learning strategies| active listening| speaking| reading comprehension| social perceptiveness
OCCO:25401100	archivists	reading comprehension| writing| active listening| judgment and decision making| critical thinking| active learning
OCCO:25401200	curators	speaking| reading comprehension| writing| active listening| critical thinking| time management
OCCO:25401300	museum technicians and conservators	active listening| speaking| reading comprehension| writing| monitoring| critical thinking
OCCO:25403100	library technicians	speaking| reading comprehension| service orientation| active listening| social perceptiveness| critical thinking
OCCO:25903100	instructional coordinators	reading comprehension| speaking| writing| learning strategies| monitoring| active listening
OCCO:27101100	art directors	speaking| active listening| time management| judgment and decision making| reading comprehension| critical thinking
OCCO:27101200	craft artists	speaking| social perceptiveness| reading comprehension| active listening| persuasion| monitoring
OCCO:27101300	"fine artists, including painters, sculptors, and illustrators"	active learning| judgment and decision making| critical thinking| active listening| social perceptiveness| complex problem solving
OCCO:27102100	commercial and industrial designers	critical thinking| active listening| speaking| reading comprehension| complex problem solving| operations analysis
OCCO:27102200	fashion designers	critical thinking| active listening| speaking| social perceptiveness| judgment and decision making| coordination
OCCO:27102300	floral designers	active listening| speaking| social perceptiveness| service orientation| time management| critical thinking
OCCO:27102400	graphic designers	active listening| speaking| critical thinking| reading comprehension| time management| social perceptiveness
OCCO:27102500	interior designers	active listening| speaking| reading comprehension| social perceptiveness| service orientation| writing
OCCO:27102600	merchandise displayers and window trimmers	active listening| speaking| critical thinking| judgment and decision making| time management| social perceptiveness
OCCO:27102700	set and exhibit designers	reading comprehension| critical thinking| active listening| coordination| time management| operations analysis
OCCO:27201100	actors	speaking| social perceptiveness| reading comprehension| active listening| monitoring| critical thinking
OCCO:27201204	talent directors	speaking| reading comprehension| active listening| social perceptiveness| time management| monitoring
